__time,/posePub_merged/header/seq,/posePub_merged/header/stamp,/posePub_merged/pose/orientation/pitch_deg,/posePub_merged/pose/orientation/roll_deg,/posePub_merged/pose/orientation/w,/posePub_merged/pose/orientation/x,/posePub_merged/pose/orientation/y,/posePub_merged/pose/orientation/yaw_deg,/posePub_merged/pose/orientation/z,/posePub_merged/pose/position/x,/posePub_merged/pose/position/y,/posePub_merged/pose/position/z
1617333602.432277,13736.000000000,1617333602.431615829,1.415659546,-175.024406516,0.043321934,-0.998959303,-0.005959428,0.745113577,0.012623908,0.001606026,-0.000888106,0.000000000
1617333602.440188,13737.000000000,1617333602.439612627,1.415978938,-175.021011450,0.043351714,-0.998958051,-0.005942778,0.743260400,0.012626167,0.001608457,-0.000900549,0.000000000
1617333602.448068,13738.000000000,1617333602.447613478,1.411634130,-175.017497674,0.043382671,-0.998957217,-0.005939345,0.742721690,0.012588270,0.001594647,-0.000913633,0.000000000
1617333602.456204,13739.000000000,1617333602.455615759,1.410234871,-175.012355452,0.043427780,-0.998955607,-0.005924060,0.740971913,0.012575677,0.001591906,-0.000932539,0.000000000
1617333602.464007,13740.000000000,1617333602.463612556,1.410081479,-175.009217617,0.043455474,-0.998954535,-0.005897341,0.737939813,0.012573351,0.001590486,-0.000944077,0.000000000
1617333602.472235,13741.000000000,1617333602.471727610,1.410653720,-175.008722506,0.043459393,-0.998954117,-0.005925846,0.741240881,0.012579617,0.001592248,-0.000945869,0.000000000
1617333602.480060,13742.000000000,1617333602.479614258,1.412067406,-175.007523619,0.043469768,-0.998953462,-0.005924185,0.741127223,0.012591959,0.001587334,-0.000950329,0.000000000
1617333602.488064,13743.000000000,1617333602.487613678,1.411831722,-175.006561530,0.043478165,-0.998953223,-0.005924902,0.741211244,0.012589987,0.001584907,-0.000953888,0.000000000
1617333602.496069,13744.000000000,1617333602.495628834,1.416350592,-175.011428597,0.043435499,-0.998954535,-0.005920360,0.740826192,0.012628982,0.001597217,-0.000935867,0.000000000
1617333602.504003,13745.000000000,1617333602.503612757,1.415574402,-175.015434226,0.043400716,-0.998956144,-0.005913959,0.740007463,0.012621698,0.001590164,-0.000921255,0.000000000
1617333602.512060,13746.000000000,1617333602.511630058,1.416995594,-175.018071847,0.043377712,-0.998957038,-0.005907688,0.739316656,0.012633690,0.001584442,-0.000911645,0.000000000
1617333602.519929,13747.000000000,1617333602.519612789,1.419230894,-175.018163773,0.043377053,-0.998956978,-0.005884924,0.736801688,0.012652219,0.001588571,-0.000911251,0.000000000
1617333602.528133,13748.000000000,1617333602.527613401,1.421552390,-175.020785597,0.043353975,-0.998957694,-0.005890760,0.737538962,0.012672601,0.001589394,-0.000901614,0.000000000
1617333602.535952,13749.000000000,1617333602.535616636,1.418668658,-175.020384741,0.043357771,-0.998957992,-0.005882142,0.736429786,0.012647064,0.001571772,-0.000903310,0.000000000
1617333602.543933,13750.000000000,1617333602.543614388,1.420132908,-175.022781617,0.043336678,-0.998958588,-0.005890065,0.737372204,0.012660061,0.001574914,-0.000894471,0.000000000
1617333602.552098,13751.000000000,1617333602.551791191,1.421527408,-175.022671009,0.043337557,-0.998958409,-0.005889583,0.737378979,0.012672226,0.001576748,-0.000894850,0.000000000
1617333602.561203,13752.000000000,1617333602.559616089,1.419022577,-175.021201877,0.043350492,-0.998958111,-0.005892387,0.737610188,0.012650553,0.001573824,-0.000900279,0.000000000
1617333602.567914,13753.000000000,1617333602.567613602,1.419120426,-175.024668541,0.043320511,-0.998959541,-0.005873389,0.735391252,0.012650389,0.001578585,-0.000887479,0.000000000
1617333602.576082,13754.000000000,1617333602.575620890,1.419674809,-175.026008280,0.043308828,-0.998960078,-0.005871189,0.735146018,0.012655062,0.001586939,-0.000882450,0.000000000
1617333602.584042,13755.000000000,1617333602.583612204,1.415559577,-175.023541533,0.043330878,-0.998959720,-0.005849016,0.732454635,0.012618296,0.001576149,-0.000891638,0.000000000
1617333602.592291,13756.000000000,1617333602.591619968,1.414025862,-175.020189669,0.043360539,-0.998958707,-0.005821408,0.729263198,0.012603888,0.001574006,-0.000903981,0.000000000
1617333602.600071,13757.000000000,1617333602.599616528,1.409827033,-175.015681557,0.043400191,-0.998957455,-0.005814468,0.728341008,0.012567164,0.001564621,-0.000920637,0.000000000
1617333602.608091,13758.000000000,1617333602.607612848,1.409209033,-175.017393086,0.043385245,-0.998958170,-0.005819984,0.728925237,0.012561912,0.001568085,-0.000914301,0.000000000
1617333602.616138,13759.000000000,1617333602.615631342,1.409453632,-175.016935788,0.043389220,-0.998958051,-0.005819873,0.728928830,0.012564070,0.001571285,-0.000915938,0.000000000
1617333602.623973,13760.000000000,1617333602.623615265,1.408498705,-175.010027210,0.043449637,-0.998955488,-0.005808476,0.727666739,0.012555616,0.001563106,-0.000941424,0.000000000
1617333602.632133,13761.000000000,1617333602.631616592,1.405542809,-175.003910861,0.043503229,-0.998953521,-0.005801344,0.726796297,0.012529828,0.001555814,-0.000963967,0.000000000
1617333602.639990,13762.000000000,1617333602.639613628,1.405789378,-175.001372082,0.043525428,-0.998952568,-0.005794433,0.726046165,0.012531821,0.001549102,-0.000973367,0.000000000
