__time,/camera/pose/header/seq,/camera/pose/header/stamp,/camera/pose/pose/orientation/pitch_deg,/camera/pose/pose/orientation/roll_deg,/camera/pose/pose/orientation/w,/camera/pose/pose/orientation/x,/camera/pose/pose/orientation/y,/camera/pose/pose/orientation/yaw_deg,/camera/pose/pose/orientation/z,/camera/pose/pose/position/x,/camera/pose/pose/position/y,/camera/pose/pose/position/z
1617333602.476735,20151.000000000,1617333602.476228237,0.116068598,-1.514952816,0.999911368,-0.013218784,0.001029401,-0.143893966,-0.001242211,0.001764504,-0.000171392,-0.001065978
1617333602.481697,20152.000000000,1617333602.481227160,0.115190197,-1.514932855,0.999911368,-0.013218624,0.001021678,-0.143392624,-0.001237937,0.001762282,-0.000165205,-0.001042047
1617333602.486717,20153.000000000,1617333602.486225843,0.113202588,-1.514680094,0.999911368,-0.013216434,0.001004402,-0.144007763,-0.001243537,0.001761014,-0.000157953,-0.001014086
1617333602.491755,20154.000000000,1617333602.491220236,0.111182947,-1.516653992,0.999911189,-0.013233688,0.000986707,-0.143192543,-0.001236639,0.001759188,-0.000152886,-0.000983670
1617333602.497445,20155.000000000,1617333602.496508360,0.109609285,-1.517376959,0.999911129,-0.013240017,0.000972938,-0.142800763,-0.001233396,0.001757260,-0.000145390,-0.000949554
1617333602.502002,20156.000000000,1617333602.501341105,0.108938858,-1.516042918,0.999911308,-0.013228389,0.000966997,-0.142139132,-0.001227712,0.001755980,-0.000137280,-0.000910473
1617333602.507017,20157.000000000,1617333602.506357431,0.106494100,-1.516371084,0.999911308,-0.013231278,0.000945690,-0.142329318,-0.001229651,0.001753163,-0.000128710,-0.000871056
1617333602.511769,20158.000000000,1617333602.511220694,0.106425946,-1.518360416,0.999911070,-0.013248621,0.000945360,-0.144441318,-0.001248071,0.001791575,-0.000164814,-0.001076184
1617333602.516787,20159.000000000,1617333602.516370058,0.105344200,-1.517441378,0.999911189,-0.013240619,0.000935833,-0.143767191,-0.001242321,0.001781583,-0.000159184,-0.001060480
1617333602.521643,20160.000000000,1617333602.521258593,0.106100408,-1.518767983,0.999911070,-0.013252187,0.000942446,-0.143766550,-0.001242218,0.001771916,-0.000155556,-0.001030610
1617333602.526738,20161.000000000,1617333602.526343822,0.105478168,-1.517942203,0.999911070,-0.013244997,0.000936860,-0.142485495,-0.001231118,0.001763253,-0.000150631,-0.001008910
1617333602.531854,20162.000000000,1617333602.531444073,0.103884600,-1.518957831,0.999911010,-0.013253873,0.000923022,-0.142973794,-0.001235555,0.001754420,-0.000145709,-0.000986376
1617333602.536831,20163.000000000,1617333602.536246538,0.102803504,-1.518146571,0.999911070,-0.013246804,0.000913596,-0.143115448,-0.001236922,0.001751312,-0.000142805,-0.000974147
1617333602.541632,20164.000000000,1617333602.541220665,0.099047316,-1.517219371,0.999911249,-0.013238758,0.000880778,-0.142835823,-0.001234924,0.001824962,-0.000193149,-0.001082334
1617333602.546580,20165.000000000,1617333602.546231270,0.099554747,-1.516871990,0.999911308,-0.013235724,0.000885168,-0.142543158,-0.001232314,0.001828431,-0.000195561,-0.001070574
1617333602.552060,20166.000000000,1617333602.551236153,0.097833277,-1.517834525,0.999911189,-0.013244142,0.000870146,-0.142451980,-0.001231710,0.001829764,-0.000192936,-0.001048658
1617333602.557031,20167.000000000,1617333602.556267262,0.097428016,-1.517152894,0.999911249,-0.013238207,0.000866472,-0.141324721,-0.001221926,0.001835289,-0.000192711,-0.001031962
1617333602.562150,20168.000000000,1617333602.561510563,0.096646750,-1.517386866,0.999911249,-0.013240248,0.000859798,-0.142536137,-0.001232585,0.001843429,-0.000192008,-0.001014786
1617333602.566759,20169.000000000,1617333602.566231489,0.098619475,-1.516031061,0.999911427,-0.013228405,0.000876858,-0.141336771,-0.001221902,0.001853193,-0.000189411,-0.001005195
