__time,/orientation/angular_velocity/x,/orientation/angular_velocity/y,/orientation/angular_velocity/z,/orientation/angular_velocity_covariance[0;0],/orientation/angular_velocity_covariance[0;1],/orientation/angular_velocity_covariance[0;2],/orientation/angular_velocity_covariance[1;1],/orientation/angular_velocity_covariance[1;2],/orientation/angular_velocity_covariance[2;2],/orientation/header/seq,/orientation/header/stamp,/orientation/linear_acceleration/x,/orientation/linear_acceleration/y,/orientation/linear_acceleration/z,/orientation/linear_acceleration_covariance[0;0],/orientation/linear_acceleration_covariance[0;1],/orientation/linear_acceleration_covariance[0;2],/orientation/linear_acceleration_covariance[1;1],/orientation/linear_acceleration_covariance[1;2],/orientation/linear_acceleration_covariance[2;2],/orientation/orientation/pitch_deg,/orientation/orientation/roll_deg,/orientation/orientation/w,/orientation/orientation/x,/orientation/orientation/y,/orientation/orientation/yaw_deg,/orientation/orientation/z,/orientation/orientation_covariance[0;0],/orientation/orientation_covariance[0;1],/orientation/orientation_covariance[0;2],/orientation/orientation_covariance[1;1],/orientation/orientation_covariance[1;2],/orientation/orientation_covariance[2;2]
1617333602.568246,-0.007487928,-0.002510714,0.005104332,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13753.000000000,1617333602.567635298,-0.023765000,-0.046119999,-1.000445008,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.419120426,-175.024668541,0.043320511,-0.998959541,-0.005873389,0.735391252,0.012650389,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.576174,-0.002923717,-0.004959934,0.000970636,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13754.000000000,1617333602.575650454,-0.023385001,-0.047109999,-1.001929998,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.419674809,-175.026008280,0.043308828,-0.998960078,-0.005871189,0.735146018,0.012655062,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.584136,0.005563121,0.007013431,0.005321683,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13755.000000000,1617333602.583636284,-0.023840001,-0.048255000,-1.002544999,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.415559577,-175.023541533,0.043330878,-0.998959720,-0.005849016,0.732454635,0.012618296,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.592361,0.007514806,0.001974724,0.006845064,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13756.000000000,1617333602.591646433,-0.023960000,-0.048450001,-1.000139952,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.414025862,-175.020189669,0.043360539,-0.998958707,-0.005821408,0.729263198,0.012603888,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.600938,0.009942908,0.005891650,0.001517215,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13757.000000000,1617333602.599642277,-0.023346668,-0.047890004,-1.001943350,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.409827033,-175.015681557,0.043400191,-0.998957455,-0.005814468,0.728341008,0.012567164,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.608201,-0.003788120,-0.002220640,-0.001093042,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13758.000000000,1617333602.607634783,-0.023380000,-0.048330002,-1.003759980,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.409209033,-175.017393086,0.043385245,-0.998958170,-0.005819984,0.728925237,0.012561912,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.616623,0.000998910,-0.001886410,0.000156149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13759.000000000,1617333602.615662575,-0.024189999,-0.047875002,-1.002845049,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.409453632,-175.016935788,0.043389220,-0.998958051,-0.005819873,0.728928830,0.012564070,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.624099,0.015260170,0.005317204,0.002320997,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13760.000000000,1617333602.623639584,-0.025905000,-0.047380000,-1.003914952,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.408498705,-175.010027210,0.043449637,-0.998955488,-0.005808476,0.727666739,0.012555616,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.632381,0.013458292,0.004675621,0.001506510,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13761.000000000,1617333602.631638765,-0.023879999,-0.046009999,-1.002580047,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.405542809,-175.003910861,0.043503229,-0.998953521,-0.005801344,0.726796297,0.012529828,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.640155,0.005607277,0.004206883,0.001282991,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13762.000000000,1617333602.639638662,-0.026473334,-0.045550000,-1.003059983,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.405789378,-175.001372082,0.043525428,-0.998952568,-0.005794433,0.726046165,0.012531821,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.648236,0.001221730,-0.002795029,0.002783276,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13763.000000000,1617333602.647638083,-0.027084999,-0.045545001,-1.004794955,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.409850443,-175.000842499,0.043529931,-0.998952091,-0.005782767,0.724892145,0.012566812,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1617333602.656272,-0.000222820,0.001110320,-0.000424115,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,13764.000000000,1617333602.655639887,-0.027389999,-0.044555001,-1.004029989,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.412338378,-175.000939327,0.043528922,-0.998951852,-0.005783124,0.725040648,0.012588552,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
